image,algorithm,metric,features,g_x,g_y,g_score,r_x,r_y,r_score,num_steps,step_size,crop_frac,seconds
cathedral,exhaustive,l2,raw,2,5,37.0021,3,12,53.39,15,1,0.15,0.07
monastery,exhaustive,l2,raw,2,-3,25.9965,2,3,49.5402,15,1,0.15,0.08
tobolsk,exhaustive,l2,raw,3,3,26.7519,3,6,51.8801,15,1,0.15,0.08
cathedral,exhaustive,ncc,raw,2,5,-0.956603,3,12,-0.907615,15,1,0.15,0.14
monastery,exhaustive,ncc,raw,2,-3,-0.950991,2,3,-0.857677,15,1,0.15,0.14
tobolsk,exhaustive,ncc,raw,3,3,-0.930534,3,6,-0.860044,15,1,0.15,0.14
brick_building,pyramid,ncc,raw,-12,44,-0.843387,-27,99,-0.745514,15,1,0.15,1.07
cathedral,pyramid,ncc,raw,2,5,-0.956603,3,12,-0.907615,15,1,0.15,0.06
church,pyramid,ncc,raw,4,25,-0.908994,-4,58,-0.7759,15,1,0.15,1.00
emir,pyramid,ncc,raw,24,49,-0.676751,44,63,-0.235103,15,1,0.15,0.99
harvesters,pyramid,ncc,raw,17,60,-0.753275,14,124,-0.782438,15,1,0.15,0.98
icon,pyramid,ncc,raw,17,41,-0.803721,23,89,-0.629318,15,1,0.15,1.02
ilemselga,pyramid,ncc,raw,7,40,-0.829655,11,130,-0.6981,15,1,0.15,1.07
melons,pyramid,ncc,raw,10,81,-0.935456,14,178,-0.900954,15,1,0.15,1.03
monastery,pyramid,ncc,raw,2,-3,-0.950991,2,3,-0.857677,15,1,0.15,0.06
religous_painting,pyramid,ncc,raw,3,28,-0.81906,7,68,-0.733527,15,1,0.15,1.01
self_portrait,pyramid,ncc,raw,29,79,-0.767093,37,176,-0.742249,15,1,0.15,1.07
siren,pyramid,ncc,raw,-6,49,-0.869581,-25,96,-0.912913,15,1,0.15,1.20
smolensk,pyramid,ncc,raw,-15,31,-0.944065,-29,56,-0.935884,15,1,0.15,1.07
three_generations,pyramid,ncc,raw,14,52,-0.924235,11,111,-0.891858,15,1,0.15,1.00
tobolsk,pyramid,ncc,raw,3,3,-0.930534,3,6,-0.860044,15,1,0.15,0.06
train,pyramid,ncc,raw,6,43,-0.927753,32,87,-0.898381,15,1,0.15,1.01
wharf,pyramid,ncc,raw,-7,15,-0.888489,-16,82,-0.765614,15,1,0.15,1.06
brick_building,pyramid,ncc,gradient,-12,42,-0.419887,-27,98,-0.361316,15,1,0.15,4.31
cathedral,pyramid,ncc,gradient,2,5,-0.78699,3,12,-0.659893,15,1,0.15,0.66
church,pyramid,ncc,gradient,4,25,-0.617328,-4,58,-0.59704,15,1,0.15,3.93
emir,pyramid,ncc,gradient,24,49,-0.487032,40,107,-0.514948,15,1,0.15,3.88
harvesters,pyramid,ncc,gradient,17,60,-0.354862,14,124,-0.310387,15,1,0.15,4.27
icon,pyramid,ncc,gradient,17,42,-0.392536,23,90,-0.354289,15,1,0.15,3.86
ilemselga,pyramid,ncc,gradient,7,40,-0.717492,11,131,-0.624302,15,1,0.15,4.13
melons,pyramid,ncc,gradient,10,80,-0.496963,13,177,-0.390725,15,1,0.15,4.29
monastery,pyramid,ncc,gradient,2,-3,-0.90146,2,3,-0.809861,15,1,0.15,0.67
religous_painting,pyramid,ncc,gradient,6,30,-0.443692,6,70,-0.465892,15,1,0.15,3.83
self_portrait,pyramid,ncc,gradient,29,78,-0.433639,37,176,-0.418178,15,1,0.15,4.28
siren,pyramid,ncc,gradient,-6,49,-0.443865,-24,96,-0.476895,15,1,0.15,4.07
smolensk,pyramid,ncc,gradient,-15,32,-0.541428,-28,56,-0.660378,15,1,0.15,3.96
three_generations,pyramid,ncc,gradient,12,53,-0.461686,9,111,-0.477425,15,1,0.15,3.81
tobolsk,pyramid,ncc,gradient,3,3,-0.862862,3,6,-0.747913,15,1,0.15,0.44
train,pyramid,ncc,gradient,8,42,-0.452909,29,86,-0.485742,15,1,0.15,3.84
wharf,pyramid,ncc,gradient,-6,15,-0.682334,-16,82,-0.520814,15,1,0.15,4.36
